"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1851625378902864295","Wed Oct 30 14:01:06 +0000 2024","0","rencana mau megang bab 1 eh tai malah nyaman liat ritsuki dan emaknya","1851625378902864295","","","in","Heeramandi","0","1","0","https://x.com/your_nicotinee/status/1851625378902864295","1492336757236707330","your_nicotinee"
"1851624598783291717","Wed Oct 30 13:58:00 +0000 2024","0","Ritsuki gemec sekali udah bisa WOA ke umma","1851624598783291717","","","in","","0","2","0","https://x.com/nsaneira/status/1851624598783291717","1583701676586078213","nsaneira"
"1851622998450770191","Wed Oct 30 13:51:38 +0000 2024","0","Ritsuki core meme kucing aries leo sagitarius ahahah","1851622998450770191","","","in","Makasar, Indonesia","0","0","0","https://x.com/anakbaik807/status/1851622998450770191","1566079496234512384","anakbaik807"
"1851620140405973082","Wed Oct 30 13:40:17 +0000 2024","1","ritsuki masak ama pak bambang anteng masak ama uma mega kek reog kesurupan","1851620140405973082","","","in","Heeramandi","0","0","0","https://x.com/your_nicotinee/status/1851620140405973082","1492336757236707330","your_nicotinee"
"1851619609436385689","Wed Oct 30 13:38:10 +0000 2024","0","Dulu waktu stress skripsian salah satu stress release ku tuh nontonin videonya abe. Sekarang kalo lagi banyak pikiran lagi sedih atau lagi ngga mood nontonin ritsuki sama umamega. Beneran bikin mood jadi bagus lagi. Sehat bahagia dan hidup lebih lama ya Abe + Ueno family","1851619609436385689","","","in","","0","0","0","https://x.com/peachaepricot/status/1851619609436385689","1598926306137100289","peachaepricot"
"1851565927625826399","Wed Oct 30 13:34:24 +0000 2024","0","@ayyuaspita19 paling suka lihat ritsuki nangis","1851618659925660144","","ayyuaspita19","in","location unknown ","0","0","0","https://x.com/acbsurd/status/1851618659925660144","1263101155170586625","acbsurd"
"1851565927625826399","Wed Oct 30 12:07:20 +0000 2024","0","@ayyuaspita19 cuma ritsuki yg bisaa","1851596749040959697","","ayyuaspita19","in","","0","0","0","https://x.com/Pyralisice/status/1851596749040959697","1538825178754363394","Pyralisice"
"1851585876381639145","Wed Oct 30 12:05:10 +0000 2024","0","@cehlos kata ritsuki boleeeehh sayaaank ","1851596203303288977","","cehlos","in","","0","0","0","https://x.com/queenhoki_/status/1851596203303288977","1717564517188853760","queenhoki_"
"1851565927625826399","Wed Oct 30 12:04:15 +0000 2024","1","@ayyuaspita19 Hahaha ya ampun ritsuki nangisnya","1851595973803557288","","ayyuaspita19","in","Jakarta Capital Region","0","0","0","https://x.com/ino_wilmac/status/1851595973803557288","57914598","ino_wilmac"
"1851565927625826399","Wed Oct 30 11:52:10 +0000 2024","0","@ayyuaspita19 Itulah namanya ritsuki","1851592932031394022","","ayyuaspita19","in","","0","0","0","https://x.com/dakwapedia/status/1851592932031394022","1576813478358097921","dakwapedia"
"1851565927625826399","Wed Oct 30 11:51:14 +0000 2024","0","@ayyuaspita19 Lucu banget ritsuki","1851592697502396656","","ayyuaspita19","in","","0","0","0","https://x.com/hijrahpath_/status/1851592697502396656","1681317664550191106","hijrahpath_"
"1851565927625826399","Wed Oct 30 11:49:39 +0000 2024","0","@ayyuaspita19 Ritsuki mah gini bgt klo nangis","1851592298141987314","","ayyuaspita19","in","Sumatera Utara, Indonesia","0","0","0","https://x.com/Fahmatchaa/status/1851592298141987314","2741495809","Fahmatchaa"
"1851565927625826399","Wed Oct 30 11:48:19 +0000 2024","0","@ayyuaspita19 Lucu banget ritsuki","1851591964426486246","","ayyuaspita19","in","","0","0","0","https://x.com/helasheir/status/1851591964426486246","1681579650668171270","helasheir"
"1851565927625826399","Wed Oct 30 11:45:13 +0000 2024","0","@ayyuaspita19 Ritsuki klo nangis lucu wkwk","1851591181551239254","","ayyuaspita19","in","Los Angeles, CA","0","0","0","https://x.com/imjustgirlx/status/1851591181551239254","1347134295182200834","imjustgirlx"
"1851589575682261156","Wed Oct 30 11:44:49 +0000 2024","0","@toystoqry aku pake yasin gpp?","1851591081139503418","","toystoqry","in","","0","0","0","https://x.com/gempwiy/status/1851591081139503418","877621309248634881","gempwiy"
"1851589908542165218","Wed Oct 30 11:43:15 +0000 2024","3","ungu pastel nya udah kaya bilang ayo checkout aku ritsuki backpack https://t.co/cRK1N3O84T https://t.co/7pBlj2iXnX","1851590686208069902","https://pbs.twimg.com/media/GbIr4BObEAErBGx.jpg","jacfkpot","in","orensshop—🛒","0","1","0","https://x.com/jacfkpot/status/1851590686208069902","771386587812798465","jacfkpot"
"1851260793612116089","Wed Oct 30 11:39:45 +0000 2024","0","@fundameeental HAH ADA?","1851589805823418537","","fundameeental","in","","0","0","0","https://x.com/gempwiy/status/1851589805823418537","877621309248634881","gempwiy"
"1851421274339238195","Wed Oct 30 11:38:58 +0000 2024","0","@menvcium @munvess klo kebanyakan say sorry jd brp","1851589610461380897","","menvcium","in","","0","2","0","https://x.com/gempwiy/status/1851589610461380897","877621309248634881","gempwiy"
"1851589575682261156","Wed Oct 30 11:38:50 +0000 2024","0","enak betul lah bangun2 langsung sholat","1851589575682261156","","","in","","0","2","0","https://x.com/gempwiy/status/1851589575682261156","877621309248634881","gempwiy"
"1851565927625826399","Wed Oct 30 11:31:40 +0000 2024","0","@ayyuaspita19 keinget abe bilang ritsuki dan ritsunat. ","1851587772638978543","","ayyuaspita19","in","Handle by Admin, Personal Acc.","0","0","0","https://x.com/aviahtion/status/1851587772638978543","925740084992737285","aviahtion"
"1851520732200599601","Wed Oct 30 11:30:49 +0000 2024","7","@manusiaaanonim @starfess Mereka tu apa ga punya influencer lokal? Misal kaya abe ritsuki laura fadil keanu dll yang seru2 gitu dan yang isinya ga bersaing gitu loh kaya real life yg bener2 seru aja. Beneran tanyaa","1851587558654066817","","manusiaaanonim","in","GG4EVA♡","0","1","0","https://x.com/anaksverusnape/status/1851587558654066817","528134084","anaksverusnape"
"1851565927625826399","Wed Oct 30 11:29:42 +0000 2024","0","@ayyuaspita19 haha ritsuki knpa","1851587278604521839","","ayyuaspita19","in","","0","0","0","https://x.com/KikoyBarry/status/1851587278604521839","577318073","KikoyBarry"
"1851458421889106276","Wed Oct 30 11:26:18 +0000 2024","0","@cvddlepop Yg belakang mirip ritsuki","1851586421229785267","","cvddlepop","in","Surakarta, Jawa Tengah","0","0","0","https://x.com/cok199/status/1851586421229785267","1060442242010144771","cok199"
"1851585245851849149","Wed Oct 30 11:21:38 +0000 2024","0","maw ketemu ritsuki sama ritsuNat","1851585245851849149","","","in","fhub 24","0","0","0","https://x.com/yujinfh/status/1851585245851849149","978248710793523200","yujinfh"
"1851565927625826399","Wed Oct 30 11:16:26 +0000 2024","0","@ayyuaspita19 Wkwk lucu banget sih ritsuki","1851583937581342896","","ayyuaspita19","in","Indonesia","0","0","0","https://x.com/minkaput/status/1851583937581342896","1128603452475461637","minkaput"
